2026-09-03T10:06:06.170744684Z I0903 10:06:06.170422       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-05T04:21:25.137667591Z E0905 04:21:25.137223       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T04:23:06.109517772Z I0905 04:23:06.109301       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-05T04:23:50.848951117Z E0905 04:23:50.848605       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-05T04:33:06.010253062Z I0905 04:33:06.009666       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-05T04:40:30.753845997Z W0905 04:40:30.753728       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:43:06.011896838Z I0905 04:43:06.011093       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-05T04:45:46.427929507Z W0905 04:45:46.427815       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:46.432638647Z W0905 04:45:46.432418       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:46.438919931Z W0905 04:45:46.438841       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:46.460274838Z W0905 04:45:46.460163       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:46.501903088Z W0905 04:45:46.501809       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:46.583559362Z W0905 04:45:46.583469       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:46.747113223Z W0905 04:45:46.746941       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:47.074115497Z W0905 04:45:47.073941       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:47.722715437Z W0905 04:45:47.722426       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:49.007067915Z W0905 04:45:49.006863       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:51.570393354Z W0905 04:45:51.570267       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:45:56.694227797Z W0905 04:45:56.694032       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:46:06.939373453Z W0905 04:46:06.939137       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:46:27.430331947Z W0905 04:46:27.430019       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
2026-09-05T04:47:08.400556076Z W0905 04:47:08.400211       1 dispatcher.go:217] Failed calling webhook, failing closed validate.policy-guard.platform.internal: failed calling webhook "validate.policy-guard.platform.internal": failed to call webhook: Post "https://policy-guard.platform-policy.svc:443/validate?timeout=10s": service "policy-guard" not found
